description,industry,level,size,line_code,value
Importance of quality of goods and services produced by this business - a little important,Other professional scientific,2,total,C0202_02,0
Importance of quality of goods and services produced by this business - a little important,Administrative & support services,1,total,C0202_02,9
Importance of quality of goods and services produced by this business - a little important,Education & training,1,total,C0202_02,3
Importance of quality of goods and services produced by this business - a little important,Health care & social assistance,1,total,C0202_02,18
Importance of quality of goods and services produced by this business - a little important,Arts & recreation services,1,total,C0202_02,12
Importance of quality of goods and services produced by this business - a little important,Other services,1,total,C0202_02,12
Importance of quality of goods and services produced by this business - a little important,total,0,total,C0202_02,366
Importance of quality of goods and services produced by this business - moderately important,total,0,6–19 employees,C0202_03,1896
Importance of quality of goods and services produced by this business - moderately important,total,0,20–49 employees,C0202_03,441
Importance of quality of goods and services produced by this business - moderately important,total,0,50–99 employees,C0202_03,117
Importance of quality of goods and services produced by this business - moderately important,total,0,100+ employees,C0202_03,108
Importance of quality of goods and services produced by this business - moderately important,"Agriculture, forestry, & fishing",1,total,C0202_03,246
Importance of quality of goods and services produced by this business - moderately important,Agriculture,2,total,C0202_03,153
Importance of quality of goods and services produced by this business - moderately important,Commercial fishing,2,total,C0202_03,0
Importance of quality of goods and services produced by this business - moderately important,Forestry & logging,2,total,C0202_03,39
Importance of quality of goods and services produced by this business - moderately important,"Agriculture, forestry, & fishing support services",2,total,C0202_03,54
